Date,TVL_sum
2022-01-01,1.96E+08
2022-01-02,1.96E+08
2022-01-03,1.98E+08
2022-01-04,1.98E+08
2022-01-05,1.96E+08
2022-01-06,1.91E+08
2022-01-07,1.96E+08
2022-01-08,2.22E+08
2022-01-09,2.21E+08
2022-01-10,2.18E+08
2022-01-11,2.21E+08
2022-01-12,2.22E+08
2022-01-13,2.06E+08
2022-01-14,2.09E+08
2022-01-15,2.13E+08
2022-01-16,2.13E+08
2022-01-17,2.13E+08
2022-01-18,2.04E+08
2022-01-19,2.01E+08
2022-01-20,2.05E+08
2022-01-21,1.80E+08
2022-01-22,1.57E+08
2022-01-23,1.52E+08
2022-01-24,1.45E+08
2022-01-25,1.39E+08
2022-01-26,1.34E+08
2022-01-27,1.23E+08
2022-01-28,1.46E+08
2022-01-29,1.52E+08
2022-01-30,1.52E+08
2022-01-31,1.58E+08
2022-10-01,5.24E+07
2022-10-02,5.19E+07
2022-10-03,5.18E+07
2022-10-04,5.17E+07
2022-10-05,5.05E+07
2022-10-06,4.98E+07
2022-10-07,4.78E+07
2022-10-08,5.07E+07
2022-10-09,5.67E+07
2022-10-10,5.90E+07
2022-10-11,5.65E+07
2022-10-12,5.53E+07
2022-10-13,4.81E+07
2022-10-14,4.97E+07
2022-02-01,1.59E+08
2022-02-02,1.58E+08
2022-02-03,1.56E+08
2022-02-04,1.47E+08
2022-02-05,1.59E+08
2022-02-06,1.61E+08
2022-02-07,1.63E+08
2022-02-08,1.64E+08
2022-02-09,1.70E+08
2022-02-10,1.70E+08
2022-02-11,1.69E+08
2022-02-12,1.68E+08
2022-02-13,1.67E+08
2022-02-14,1.66E+08
2022-02-15,1.68E+08
2022-02-16,1.69E+08
2022-02-17,1.56E+08
2022-02-18,1.54E+08
2022-02-19,1.54E+08
2022-02-20,1.53E+08
2022-02-21,1.56E+08
2022-02-22,1.55E+08
2022-02-23,1.56E+08
2022-02-24,1.50E+08
2022-02-25,1.52E+08
2022-02-26,1.55E+08
2022-02-27,1.54E+08
2022-02-28,1.54E+08
2022-03-01,1.57E+08
2022-03-02,1.57E+08
2022-03-03,1.56E+08
2022-03-04,1.54E+08
2022-03-05,1.53E+08
2022-03-06,1.53E+08
2022-03-07,1.52E+08
2022-03-08,1.52E+08
2022-03-09,1.54E+08
2022-03-10,1.52E+08
2022-03-11,1.54E+08
2022-03-12,1.54E+08
2022-03-13,1.54E+08
2022-03-14,1.51E+08
2022-03-15,1.48E+08
2022-03-16,1.49E+08
2022-03-17,1.50E+08
2022-03-18,1.41E+08
2022-03-19,1.35E+08
2022-03-20,1.34E+08
2022-03-21,1.34E+08
2022-03-22,1.35E+08
2022-03-23,1.35E+08
2022-03-24,1.36E+08
2022-03-25,1.36E+08
2022-03-26,1.36E+08
2022-03-27,1.37E+08
2022-03-28,1.38E+08
2022-03-29,1.36E+08
2022-03-30,1.35E+08
2022-03-31,1.32E+08
2022-04-01,1.32E+08
2022-04-02,1.35E+08
2022-04-03,1.35E+08
2022-04-04,1.34E+08
2022-04-05,1.33E+08
2022-04-06,1.31E+08
2022-04-07,1.31E+08
2022-04-08,1.31E+08
2022-04-09,1.31E+08
2022-04-10,1.31E+08
2022-04-11,1.30E+08
2022-04-12,1.32E+08
2022-04-13,1.32E+08
2022-04-14,1.32E+08
2022-04-15,1.31E+08
2022-04-16,1.30E+08
2022-04-17,1.30E+08
2022-04-18,1.29E+08
2022-04-19,1.29E+08
2022-04-20,1.29E+08
2022-04-21,1.33E+08
2022-04-22,1.33E+08
2022-04-23,1.33E+08
2022-04-24,1.34E+08
2022-04-25,1.33E+08
2022-04-26,1.33E+08
2022-04-27,1.34E+08
2022-04-28,1.37E+08
2022-04-29,1.37E+08
2022-04-30,1.37E+08
2022-05-01,1.36E+08
2022-05-02,1.32E+08
2022-05-03,1.23E+08
2022-05-04,1.22E+08
2022-05-05,1.19E+08
2022-05-06,1.18E+08
2022-05-07,1.24E+08
2022-05-08,1.24E+08
2022-05-09,1.20E+08
2022-05-10,1.16E+08
2022-05-11,1.15E+08
2022-05-12,1.12E+08
2022-05-13,1.08E+08
2022-05-14,1.08E+08
2022-05-15,1.08E+08
2022-05-16,1.08E+08
2022-05-17,1.08E+08
