Date,TVL_sum
2022-01-01,9.046225051498725288985041718433834594771487392222714447571118870977795797064809e+10
2022-01-02,7.417328479295585090153534761231198245883254284351678446166719834256278767822368e+10
2022-01-03,8.264885307853277073417749158190436821364580032558639761805600140962222737813012e+10
2022-01-04,8.352269877295231999988618158935492093225795621563255956875065442168574399246132e+10
2022-01-05,1.339074845042512366663285856697098911323876684504885727668661250169895988367287e+11
2022-01-06,1.354343527284010051412884778766898765474317158924343460813901200633596896129858e+11
2022-01-07,1.279574348789121791343850605280534811815349479181962308154814702197899570775985e+11
2022-01-08,1.027410557722473339391130309420873513685216525344654800044726535435988500187872e+11
2022-01-09,7.312671076719243525019995475941301600766258305975640736690979127394197208064338e+10
2022-01-10,1.051725254250244114012638856030195147437387480491817638967837264935610547260881e+11
2022-01-11,1.045648459775905092044171141616814080980959396682962141144176181702115862438561e+11
2022-01-12,9.467420323191183298898183145531110959274232799792460695962030951638200819059114e+10
2022-01-13,8.378629735488742976896476324901284848886557605875235817215238145168524781991287e+10
2022-01-14,2.625673272452954771041280062748817376613431449089024846175327752127245153058949e+11
2022-01-15,1.139003055992977068152019830096389188701323089733914310331101382304821416830234e+11
2022-01-16,9.249911628691930602424064475965666880108843467585514619136829485258998265308721e+10
2022-01-17,1.078985291393994861202325529945111052230052824918534680326160751688399658857665e+11
2022-01-18,1.168444982287797027276589730465674758611896753916849757117572912367037497997929e+11
2022-01-19,1.083261753148209695292473628896042497670648562412286718651694182892310057125546e+11
2022-01-20,1.10256302514967701676243547824689106208231670417809362848399610760482839800909e+11
2022-01-21,2.265516478925487723282740351041335451948656273908204682416156368799543719911957e+11
2022-01-22,2.276842150410835114763009322340100871367516758643024970568134884930107365693418e+11
2022-01-23,1.326829200608355937410297098876364727725888271603323907477170881191484599461042e+11
2022-01-24,2.071782592947262522899705459816070578044089579442309728459750038305418197409179e+11
2022-01-25,1.271880708161928868964477277785589075355455725802472666359635504859407654642856e+11
2022-01-26,1.503383700858935646665658535608668937187792547629213631615938000024513693866878e+11
2022-01-27,1.1654963256005816987928638420710795167051952939180621867884266860327125193846e+11
2022-01-28,9.954408248829575427062937112982693410500161930526845622261003122860945441667176e+10
2022-01-29,8.352283139869772035527989970611237139600932196747447501306027341316621118418789e+10
2022-01-30,7.733922232621725675378210591639167293609761257041612606544486404978975868806702e+10
2022-01-31,8.72819040526302226429109929317360748079323967204142758582834920962237949593797e+10
2022-10-01,1.480947266579084585226189976686634214015991114486672042909911561116209771015114e+11
2022-10-02,1.549975094201944743822902928682119994520718945910910646515408421138346585721088e+11
2022-10-03,1.412923699835213167499183034815555565371766207081436796432011024863211178036962e+11
2022-10-04,1.807861934387278883312024740573924115700856557684226872792009304725741944138277e+11
2022-10-05,1.424732205945951214498658548123778231579142254228978885370458850947053520872715e+11
2022-10-06,1.450867131537650842886334288297323912762401364242677752447264663921238964858945e+11
2022-10-07,1.399013503368101615764577513667734595034627920856062130729866081570200311890129e+11
2022-10-08,2.113683544084254050915778290329802468670345523790542872322558402880561596370662e+11
2022-10-09,1.319587828315023368368065700828357053717738433017197406108586096948800063711648e+11
2022-10-10,1.99804950673631590183315377155337559705358493313566418475068677843356894170992e+11
2022-10-11,2.39206452142944029870074323437008538072448790527435820665828174042133495379567e+11
2022-10-12,2.266752450350528158848414078166207208231180187356307204332858288732006712426682e+11
2022-10-13,2.784072265795216437331996099894460235922794823814320681436588678914819246217333e+11
